Product,Price,Payment_Type,Name,City,State,Country
TV,1200,Mastercard,carolina,Basildon,England,United Kingdom
TV,1200,Visa,Betina,Parkville                   ,,
TV,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States
TV,1200,Visa,Gouya,Echuca,Victoria,Australia
Laptop,3600,Visa,Gerd W ,Cahaba Heights              ,,United States
Laptop,1200,Visa,LAURENCE,Mickleton                   ,TX,United States
TV,1200,Mastercard,Fleur,Peoria                      ,IL,United States
TV,1200,Mastercard,adam,Martin                      ,,United States
TV,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel
TV,1200,Visa,,Chatou,Ile-de-France,France
TV,1200,Diners,Stacy,New York                    ,,United States
TV,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands
TV,1200,Mastercard,Sean ,Shavano Park                ,TX,United States
TV,1200,Visa,Georgia,Eagle                       ,ID,United States
TV,1200,Visa,,Riverside                   ,NJ,United States
TV,1200,Diners,Leanne,Julianstown,Meath,Ireland
TV,1200,Visa,Janet,Ottawa,Ontario,Canada
TV,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India
Laptop,3600,Visa,Sabine,London,England,United Kingdom
